date,date_hijri,day,imsak,subuh,syuruk,zohor,asar,maghrib,isyak
01-October-2019,02-Saf-1441,Selasa,5:35 am,5:45 am,6:59 am,1:06 pm,4:16 pm,7:07 pm,8:16 pm
02-October-2019,03-Saf-1441,Rabu,5:35 am,5:45 am,6:59 am,1:06 pm,4:16 pm,7:07 pm,8:16 pm
03-October-2019,04-Saf-1441,Khamis,5:35 am,5:45 am,6:58 am,1:05 pm,4:16 pm,7:06 pm,8:15 pm
04-October-2019,05-Saf-1441,Jumaat,5:35 am,5:45 am,6:58 am,1:05 pm,4:16 pm,7:06 pm,8:15 pm
05-October-2019,06-Saf-1441,Sabtu,5:34 am,5:44 am,6:58 am,1:05 pm,4:17 pm,7:06 pm,8:15 pm
06-October-2019,07-Saf-1441,Ahad,5:34 am,5:44 am,6:58 am,1:04 pm,4:17 pm,7:05 pm,8:14 pm
07-October-2019,08-Saf-1441,Isnin,5:34 am,5:44 am,6:58 am,1:04 pm,4:17 pm,7:05 pm,8:14 pm
08-October-2019,09-Saf-1441,Selasa,5:34 am,5:44 am,6:57 am,1:04 pm,4:17 pm,7:04 pm,8:14 pm
09-October-2019,10-Saf-1441,Rabu,5:33 am,5:43 am,6:57 am,1:03 pm,4:17 pm,7:04 pm,8:13 pm
10-October-2019,11-Saf-1441,Khamis,5:33 am,5:43 am,6:57 am,1:03 pm,4:17 pm,7:04 pm,8:13 pm
11-October-2019,12-Saf-1441,Jumaat,5:33 am,5:43 am,6:57 am,1:03 pm,4:17 pm,7:03 pm,8:13 pm
12-October-2019,13-Saf-1441,Sabtu,5:33 am,5:43 am,6:57 am,1:03 pm,4:17 pm,7:03 pm,8:12 pm
13-October-2019,14-Saf-1441,Ahad,5:33 am,5:43 am,6:56 am,1:02 pm,4:17 pm,7:03 pm,8:12 pm
14-October-2019,15-Saf-1441,Isnin,5:32 am,5:42 am,6:56 am,1:02 pm,4:18 pm,7:02 pm,8:12 pm
15-October-2019,16-Saf-1441,Selasa,5:32 am,5:42 am,6:56 am,1:02 pm,4:18 pm,7:02 pm,8:11 pm
16-October-2019,17-Saf-1441,Rabu,5:32 am,5:42 am,6:56 am,1:02 pm,4:18 pm,7:02 pm,8:11 pm
17-October-2019,18-Saf-1441,Khamis,5:32 am,5:42 am,6:56 am,1:01 pm,4:18 pm,7:01 pm,8:11 pm
18-October-2019,19-Saf-1441,Jumaat,5:32 am,5:42 am,6:56 am,1:01 pm,4:18 pm,7:01 pm,8:11 pm
19-October-2019,20-Saf-1441,Sabtu,5:31 am,5:41 am,6:56 am,1:01 pm,4:18 pm,7:01 pm,8:11 pm
20-October-2019,21-Saf-1441,Ahad,5:31 am,5:41 am,6:55 am,1:01 pm,4:18 pm,7:00 pm,8:10 pm
21-October-2019,22-Saf-1441,Isnin,5:31 am,5:41 am,6:55 am,1:01 pm,4:18 pm,7:00 pm,8:10 pm
22-October-2019,23-Saf-1441,Selasa,5:31 am,5:41 am,6:55 am,1:01 pm,4:18 pm,7:00 pm,8:10 pm
23-October-2019,24-Saf-1441,Rabu,5:31 am,5:41 am,6:55 am,1:00 pm,4:18 pm,7:00 pm,8:10 pm
24-October-2019,25-Saf-1441,Khamis,5:31 am,5:41 am,6:55 am,1:00 pm,4:19 pm,6:59 pm,8:10 pm
25-October-2019,26-Saf-1441,Jumaat,5:30 am,5:40 am,6:55 am,1:00 pm,4:19 pm,6:59 pm,8:10 pm
26-October-2019,27-Saf-1441,Sabtu,5:30 am,5:40 am,6:55 am,1:00 pm,4:19 pm,6:59 pm,8:09 pm
27-October-2019,28-Saf-1441,Ahad,5:30 am,5:40 am,6:55 am,1:00 pm,4:19 pm,6:59 pm,8:09 pm
28-October-2019,29-Saf-1441,Isnin,5:30 am,5:40 am,6:55 am,1:00 pm,4:19 pm,6:59 pm,8:09 pm
29-October-2019,01-Raw-1441,Selasa,5:30 am,5:40 am,6:55 am,1:00 pm,4:19 pm,6:59 pm,8:09 pm
30-October-2019,02-Raw-1441,Rabu,5:30 am,5:40 am,6:55 am,1:00 pm,4:19 pm,6:59 pm,8:09 pm
31-October-2019,03-Raw-1441,Khamis,5:30 am,5:40 am,6:55 am,1:00 pm,4:19 pm,6:58 pm,8:09 pm
01-November-2019,04-Raw-1441,Jumaat,5:30 am,5:40 am,6:55 am,1:00 pm,4:20 pm,6:58 pm,8:09 pm
02-November-2019,05-Raw-1441,Sabtu,5:30 am,5:40 am,6:55 am,1:00 pm,4:20 pm,6:58 pm,8:09 pm
03-November-2019,06-Raw-1441,Ahad,5:30 am,5:40 am,6:55 am,1:00 pm,4:20 pm,6:58 pm,8:09 pm
04-November-2019,07-Raw-1441,Isnin,5:30 am,5:40 am,6:55 am,1:00 pm,4:20 pm,6:58 pm,8:09 pm
05-November-2019,08-Raw-1441,Selasa,5:30 am,5:40 am,6:55 am,1:00 pm,4:20 pm,6:58 pm,8:09 pm
06-November-2019,09-Raw-1441,Rabu,5:30 am,5:40 am,6:55 am,1:00 pm,4:20 pm,6:58 pm,8:09 pm
07-November-2019,10-Raw-1441,Khamis,5:30 am,5:40 am,6:55 am,1:00 pm,4:20 pm,6:58 pm,8:10 pm
08-November-2019,11-Raw-1441,Jumaat,5:30 am,5:40 am,6:56 am,1:00 pm,4:21 pm,6:58 pm,8:10 pm
09-November-2019,12-Raw-1441,Sabtu,5:30 am,5:40 am,6:56 am,1:00 pm,4:21 pm,6:58 pm,8:10 pm
10-November-2019,13-Raw-1441,Ahad,5:30 am,5:40 am,6:56 am,1:00 pm,4:21 pm,6:58 pm,8:10 pm
11-November-2019,14-Raw-1441,Isnin,5:30 am,5:40 am,6:56 am,1:00 pm,4:21 pm,6:58 pm,8:10 pm
12-November-2019,15-Raw-1441,Selasa,5:30 am,5:40 am,6:56 am,1:00 pm,4:21 pm,6:58 pm,8:10 pm
13-November-2019,16-Raw-1441,Rabu,5:30 am,5:40 am,6:56 am,1:00 pm,4:22 pm,6:58 pm,8:10 pm
14-November-2019,17-Raw-1441,Khamis,5:30 am,5:40 am,6:56 am,1:00 pm,4:22 pm,6:58 pm,8:11 pm
15-November-2019,18-Raw-1441,Jumaat,5:30 am,5:40 am,6:57 am,1:00 pm,4:22 pm,6:58 pm,8:11 pm
16-November-2019,19-Raw-1441,Sabtu,5:30 am,5:40 am,6:57 am,1:01 pm,4:22 pm,6:59 pm,8:11 pm
17-November-2019,20-Raw-1441,Ahad,5:30 am,5:40 am,6:57 am,1:01 pm,4:23 pm,6:59 pm,8:11 pm
18-November-2019,21-Raw-1441,Isnin,5:30 am,5:40 am,6:57 am,1:01 pm,4:23 pm,6:59 pm,8:12 pm
19-November-2019,22-Raw-1441,Selasa,5:31 am,5:41 am,6:58 am,1:01 pm,4:23 pm,6:59 pm,8:12 pm
20-November-2019,23-Raw-1441,Rabu,5:31 am,5:41 am,6:58 am,1:01 pm,4:23 pm,6:59 pm,8:12 pm
21-November-2019,24-Raw-1441,Khamis,5:31 am,5:41 am,6:58 am,1:02 pm,4:24 pm,6:59 pm,8:12 pm
22-November-2019,25-Raw-1441,Jumaat,5:31 am,5:41 am,6:59 am,1:02 pm,4:24 pm,7:00 pm,8:13 pm
23-November-2019,26-Raw-1441,Sabtu,5:31 am,5:41 am,6:59 am,1:02 pm,4:24 pm,7:00 pm,8:13 pm
24-November-2019,27-Raw-1441,Ahad,5:32 am,5:42 am,6:59 am,1:02 pm,4:25 pm,7:00 pm,8:13 pm
25-November-2019,28-Raw-1441,Isnin,5:32 am,5:42 am,6:59 am,1:03 pm,4:25 pm,7:00 pm,8:14 pm
